7zip	25.01+dfsg-1~deb13u2
htop	3.4.1-5
i2c-tools	4.4-2
imx500-all	1.12.0-1
imx500-firmware	0.FF23+3
imx500-models	1:1.0.0-1
imx500-tools	0~20241022+2-1+trixie
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.4+rpt1
initramfs-tools-bin	0.148.4+rpt1
initramfs-tools-core	0.148.4+rpt1
inotify-tools	4.23.9.0-2+b1
iproute2	6.15.0-1
iptables	1.8.11-2
iputils-arping	3:20240905-3
iputils-ping	3:20240905-3
iso-codes	4.18.0-1
iw	6.9-1+b1
jarwrapper	0.80
java-common	0.76
jq	1.7.1-6+deb13u2
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
klibc-utils	2.0.14-1
kmod	34.2-2
kms++-utils	0~git20250807.1813ada-1
less	668-1
libaacs0:arm64	0.11.1-4+b1
libabsl20240722:arm64	20240722.0-4
libacl1:arm64	2.3.2-2+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaom3:arm64	3.12.1-1
libapparmor1:arm64	4.1.0-1
libapriltag3t64:arm64	3.4.2-1+b2
libapt-pkg7.0:arm64	3.0.3
libarchive13t64:arm64	3.7.4-4+deb13u1
libasan8:arm64	14.2.0-19
libasound2-data	1.2.14-1+rpt1
libasound2t64:arm64	1.2.14-1+rpt1
libass9:arm64	1:0.17.3-1+b1
libassuan9:arm64	3.0.2-2
libasyncns0:arm64	0.8-6+b5
libatasmart4:arm64	0.19-5+b2
libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1
libatk1.0-0t64:arm64	2.56.2-1+deb13u1
libatomic1:arm64	14.2.0-19
libatopology2t64:arm64	1.2.14-1+rpt1
libatspi2.0-0t64:arm64	2.56.2-1+deb13u1
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libavahi-client3:arm64	0.8-16
libavahi-common-data:arm64	0.8-16
libavahi-common3:arm64	0.8-16
libavahi-core7:arm64	0.8-16
libavc1394-0:arm64	0.5.4-5+b2
libavcodec61:arm64	8:7.1.3-0+deb13u1+rpt1
libavdevice61:arm64	8:7.1.3-0+deb13u1+rpt1
libavfilter10:arm64	8:7.1.3-0+deb13u1+rpt1
libavformat61:arm64	8:7.1.3-0+deb13u1+rpt1
libavutil59:arm64	8:7.1.3-0+deb13u1+rpt1
libb2-1:arm64	0.98.1-1.1+b2
libbabeltrace1:arm64	1.5.11-4+b2
libbdplus0:arm64	0.2.0-4+b1
libbinutils:arm64	2.44-3
libblas3:arm64	3.12.1-6
libblkid1:arm64	2.41-5
libblockdev-crypto3:arm64	3.3.0-2.1
libblockdev-fs3:arm64	3.3.0-2.1
libblockdev-loop3:arm64	3.3.0-2.1
libblockdev-mdraid3:arm64	3.3.0-2.1
libblockdev-nvme3:arm64	3.3.0-2.1
libblockdev-part3:arm64	3.3.0-2.1
libblockdev-swap3:arm64	3.3.0-2.1
libblockdev-utils3:arm64	3.3.0-2.1
libblockdev3:arm64	3.3.0-2.1
libbluetooth3:arm64	5.82-1.1+rpt1
libbluray2:arm64	1:1.3.4-1+b2
libboost-filesystem1.83.0:arm64	1.83.0-4.2
libboost-log1.83.0	1.83.0-4.2
libboost-program-options1.83.0:arm64	1.83.0-4.2
libboost-thread1.83.0:arm64	1.83.0-4.2
libbpf1:arm64	1:1.5.0-3
libbrotli1:arm64	1.1.0-2+b7
libbs2b0:arm64	3.1.0+dfsg-8+b1
libbsd0:arm64	0.12.2-2
libbytesize-common	2.11-2
libbytesize1:arm64	2.11-2
libbz2-1.0:arm64	1.0.8-6
libc-bin	2.41-12+rpt1+deb13u2
libc-dev-bin	2.41-12+rpt1+deb13u2
libc-l10n	2.41-12+rpt1+deb13u2
libc6:arm64	2.41-12+rpt1+deb13u2
libc6-dev:arm64	2.41-12+rpt1+deb13u2
libcaca0:arm64	0.99.beta20-5
libcairo-gobject2:arm64	1.18.4-1+rpt1
libcairo2:arm64	1.18.4-1+rpt1
libcamera-ipa:arm64	0.7.1+rpt20260429-1
libcamera0.7:arm64	0.7.1+rpt20260429-1
libcap-ng0:arm64	0.8.5-4+b1
libcap2:arm64	1:2.75-10+deb13u1+b1
libcap2-bin	1:2.75-10+deb13u1+b1
libcbor0.10:arm64	0.10.2-2
libcc1-0:arm64	14.2.0-19
libcdio-cdda2t64:arm64	10.2+2.0.2-1+b1
libcdio-paranoia2t64:arm64	10.2+2.0.2-1+b1
libcdio19t64:arm64	2.2.0-4.1~deb13u1
libchromaprint1:arm64	1.5.1-7
libcjson1:arm64	1.7.18-3.1+deb13u1
libcloudproviders0:arm64	0.3.6-2
libcodec2-1.2:arm64	1.2.0-3
libcolord2:arm64	1.4.7-3
libcom-err2:arm64	1.47.2-3+b11
libcpuinfo0:arm64	0.0~git20250327.39ea79a-1
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libcryptsetup12:arm64	2:2.7.5-2
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcups2t64:arm64	2.4.10-3+rpt2+deb13u1
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u3
libcurl4t64:arm64	8.14.1-2+deb13u3
libdaemon0:arm64	0.14-7.1+b3
libdatrie1:arm64	0.2.13-3+b1
libdav1d7:arm64	1.5.1-1
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdbus-1-3:arm64	1.16.2-2
libdc1394-25:arm64	2.2.6-5
libdconf1:arm64	0.40.0-5
libdebconfclient0:arm64	0.280
libdebuginfod-common	0.192-4
libdebuginfod1t64:arm64	0.192-4
libdecor-0-0:arm64	0.2.2-2
libdecor-0-plugin-1-gtk:arm64	0.2.2-2
libdeflate0:arm64	1.23-2
libdevmapper1.02.1:arm64	2:1.02.205-2
libdouble-conversion3:arm64	3.3.1-1
libdpkg-perl	1.22.22
libdrm-amdgpu1:arm64	2.4.131-1~bpo13+1+rpt2
libdrm-common	2.4.131-1~bpo13+1+rpt2
libdrm2:arm64	2.4.131-1~bpo13+1+rpt2
libdtovl0:arm64	20260304+1-1
libduktape207:arm64	2.7.0-2+b2
libdvdnav4:arm64	6.1.1-3+b1
libdvdread8t64:arm64	6.1.3-2
libdw1t64:arm64	0.192-4
libeatmydata1:arm64	131-2+b1
libebml5:arm64	1.4.5-1+b1
libedit2:arm64	3.1-20250104-1
libegl-mesa0:arm64	25.0.7-2+rpt4
libegl1:arm64	1.7.0-1+b2
libelf1t64:arm64	0.192-4
libepoxy0:arm64	1.5.10-2
libevdev2:arm64	1.13.4+dfsg-1
libexif12:arm64	0.6.25-1+deb13u1
libexpat1:arm64	2.7.1-2
libext2fs2t64:arm64	1.47.2-3+b11
libfakeroot:arm64	1.37.1.1-1
libfarmhash0:arm64	0~git20190513.0d859a8-3+b1
libfdisk1:arm64	2.41-5
libfdt1:arm64	1.7.2-2+b1
libffi8:arm64	3.4.8-2
libfftw3-double3:arm64	3.3.10-2+b1
libfftw3-single3:arm64	3.3.10-2+b1
libfido2-1:arm64	1.15.0-1+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14:arm64	1.5.0+ds-2
libflite1:arm64	2.2-7
libfmt10:arm64	10.1.1+ds1-4
libfontconfig1:arm64	2.15.0-2.3
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1
libfribidi0:arm64	1.0.16-1
libftdi1-2:arm64	1.5-10
libfuse3-4:arm64	3.17.2-3
libgbm1:arm64	25.0.7-2+rpt4
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgcrypt20:arm64	1.11.0-7+deb13u1
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgdk-pixbuf-2.0-0:arm64	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
libgfortran5:arm64	14.2.0-19
libgl-dev:arm64	1.7.0-1+b2
libgl1:arm64	1.7.0-1+b2
libgl1-mesa-dri:arm64	25.0.7-2+rpt4
libgles2:arm64	1.7.0-1+b2
libglib2.0-0t64:arm64	2.84.4-3~deb13u3
libglib2.0-data	2.84.4-3~deb13u3
libglu1-mesa:arm64	9.0.2-1.1+b3
libglu1-mesa-dev:arm64	9.0.2-1.1+b3
libglut-dev:arm64	3.4.0-4
libglut3.12:arm64	3.4.0-4
libglvnd0:arm64	1.7.0-1+b2
libglx-dev:arm64	1.7.0-1+b2
libglx-mesa0:arm64	25.0.7-2+rpt4
libglx0:arm64	1.7.0-1+b2
libgme0:arm64	0.6.3-7+b2
libgmp10:arm64	2:6.3.0+dfsg-3
libgnutls30t64:arm64	3.8.9-3+deb13u4
libgomp1:arm64	14.2.0-19
libgpg-error-l10n	1.51-4
libgpg-error0:arm64	1.51-4
libgpgme11t64:arm64	1.24.2-3
libgpiod3:arm64	2.2.1-2+deb13u1
libgpiolib0:arm64	20260304+1-1
libgprofng0:arm64	2.44-3
libgraphite2-3:arm64	1.3.14-2+b1
libgsm1:arm64	1.0.22-1+b2
libgssapi-krb5-2:arm64	1.21.3-5+deb13u1
libgtk-3-0t64:arm64	1:3.24.49-3+rpt8
libgtk-3-bin	1:3.24.49-3+rpt8
libgtk-3-common	1:3.24.49-3+rpt8
libgudev-1.0-0:arm64	238-6
libharfbuzz0b:arm64	10.2.0-1+deb13u1
libhidapi-hidraw0:arm64	0.14.0-1+b2
libhogweed6t64:arm64	3.10.1-1
libhwasan0:arm64	14.2.0-19
libhwloc-plugins:arm64	2.12.0-4
libhwloc15:arm64	2.12.0-4
libhwy1t64:arm64	1.2.0-2+b2
libi2c0:arm64	4.4-2
libice-dev:arm64	2:1.1.1-1
libice6:arm64	2:1.1.1-1
libicu76:arm64	76.1-4
libidn2-0:arm64	2.3.8-2
libiec61883-0:arm64	1.2.0-7
libimagequant0:arm64	2.18.0-1+b2
libimath-3-1-29t64:arm64	3.1.12-1+b3
libinotifytools0:arm64	4.23.9.0-2+b1
libinput-bin	1.28.1-1
libinput10:arm64	1.28.1-1
libip4tc2:arm64	1.8.11-2
libip6tc2:arm64	1.8.11-2
libisl23:arm64	0.27-1
libitm1:arm64	14.2.0-19
libiw30t64:arm64	30~pre9-18+b1
libjack-jackd2-0:arm64	1.9.22~dfsg-4
libjansson4:arm64	2.14-2+b3
libjaylink0:arm64	0.4.0-1
libjbig0:arm64	2.1-6.1+b2
libjim0.83:arm64	0.83-2
libjpeg62-turbo:arm64	1:2.1.5-4
libjq1:arm64	1.7.1-6+deb13u2
libjson-c5:arm64	0.18+ds-1
libjxl0.11:arm64	0.11.2-0.1~deb13u1
libk5crypto3:arm64	1.21.3-5+deb13u1
libkeyutils1:arm64	1.6.3-6
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkms++0:arm64	0~git20250807.1813ada-1
libkrb5-3:arm64	1.21.3-5+deb13u1
libkrb5support0:arm64	1.21.3-5+deb13u1
libksba8:arm64	1.6.7-2+b1
liblapack3:arm64	3.12.1-6
liblastlog2-2:arm64	2.41-5
liblcms2-2:arm64	2.16-2+deb13u2
libldap-common	2.6.10+dfsg-1
libldap2:arm64	2.6.10+dfsg-1
liblerc4:arm64	4.0.0+ds-5
liblgpio1:arm64	0.2.2-1~rpt1+trixie
liblilv-0-0:arm64	0.24.26-1
libllvm19:arm64	1:19.1.7-3+b1
liblocale-gettext-perl	1.07-7+b1
liblsan0:arm64	14.2.0-19
liblttng-ust-common1t64:arm64	2.13.9-1
liblttng-ust-ctl5t64:arm64	2.13.9-1
liblttng-ust1t64:arm64	2.13.9-1
libluajit-5.1-2:arm64	2.1.0+openresty20250117-2
libluajit-5.1-common	2.1.0+openresty20250117-2
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmatroska7:arm64	1.7.1-1+b2
libmbedcrypto16:arm64	3.6.5-0.1~deb13u1
libmd0:arm64	1.1.0-2+b1
libmd4c0:arm64	0.5.2-2+b1
libmm-glib0:arm64	1.24.0-1+deb13u1
libmnl0:arm64	1.0.5-3
libmount1:arm64	2.41-5
libmp3lame0:arm64	3.100-6+b3
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libmpg123-0t64:arm64	1.32.10-1+deb13u1
libmtdev1t64:arm64	1.1.7-1
libmtp-common	1.1.22-1
libmtp-runtime	1.1.22-1
libmtp9t64:arm64	1.1.22-1
libmysofa1:arm64	1.3.3+dfsg-1
libncursesw6:arm64	6.5+20250216-2
libndp0:arm64	1.9-1+b1
libnetfilter-conntrack3:arm64	1.1.0-1
libnetplan1:arm64	1.1.2-7+rpt1
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnftables1:arm64	1.1.3-1
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1+deb13u1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnl-3-200:arm64	3.7.0-2
libnl-genl-3-200:arm64	3.7.0-2
libnl-route-3-200:arm64	3.7.0-2
libnm0:arm64	1.52.1-1+rpt4
libnorm1t64:arm64	1.5.9+dfsg-3.1+b2
libnpth0t64:arm64	1.8-3
libnspr4:arm64	2:4.36-1
libnss-mdns:arm64	0.15.1-4+b1
libnss3:arm64	2:3.110-1+deb13u2
libntfs-3g89t64:arm64	1:2022.10.3-5+deb13u1
libnuma1:arm64	2.0.19-1
libnvme1t64	1.13-2
libogg0:arm64	1.3.5-3+b2
libonig5:arm64	6.9.9-1+b1
libopenal-data	1:1.24.2-1
libopenal1:arm64	1:1.24.2-1
libopencv-calib3d410:arm64	4.10.0+dfsg-5
libopencv-core410:arm64	4.10.0+dfsg-5
libopencv-dnn410:arm64	4.10.0+dfsg-5
libopencv-features2d410:arm64	4.10.0+dfsg-5
libopencv-flann410:arm64	4.10.0+dfsg-5
libopencv-imgproc410:arm64	4.10.0+dfsg-5
libopencv-objdetect410:arm64	4.10.0+dfsg-5
libopenexr-3-1-30:arm64	3.1.13-2
libopengl-dev:arm64	1.7.0-1+b2
libopengl0:arm64	1.7.0-1+b2
libopenjp2-7:arm64	2.5.3-2.1~deb13u2
libopenmpt0t64:arm64	0.7.13-1+b1
libopus0:arm64	1.5.2-2
libossp-uuid16:arm64	1.6.4-1
libp11-kit0:arm64	0.25.5-3
libpam-chksshpwd:arm64	2.0
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.13-1~deb13u1
libpam0g:arm64	1.7.0-5
libpango-1.0-0:arm64	1.56.3-1
libpangocairo-1.0-0:arm64	1.56.3-1
libpangoft2-1.0-0:arm64	1.56.3-1
libparted2t64:arm64	3.6-5
libpcap0.8t64:arm64	1.10.5-2
libpci3:arm64	1:3.13.0-2
libpciaccess0:arm64	0.17-3+b3
libpcre2-16-0:arm64	10.46-1~deb13u1
libpcre2-8-0:arm64	10.46-1~deb13u1
libpcsclite1:arm64	2.3.3-1
libperl5.40:arm64	5.40.1-6
libpgm-5.3-0t64:arm64	5.3.128~dfsg-2.1+b1
libpipeline1:arm64	1.5.8-1
libpisp-common	1.5.0-1
libpisp1:arm64	1.5.0-1
libpixman-1-0:arm64	0.46.4-1+rpt1
libpkgconf3:arm64	1.8.1-4
libplacebo349:arm64	7.349.0-3
libpng16-16t64:arm64	1.6.48-1+deb13u5
libpocketsphinx3:arm64	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpopt0:arm64	1.19+dfsg-2
libpostproc58:arm64	8:7.1.3-0+deb13u1+rpt1
libproc2-0:arm64	2:4.0.4-9
libprotobuf32t64:arm64	3.21.12-11
libpsl5t64:arm64	0.21.2-1.1+b1
libpugixml1v5:arm64	1.14-2
libpulse0:arm64	17.0+dfsg1-2+rpt1
libpython3-stdlib:arm64	3.13.5-1
libpython3.13:arm64	3.13.5-2+deb13u2
libpython3.13-minimal:arm64	3.13.5-2+deb13u2
libpython3.13-stdlib:arm64	3.13.5-2+deb13u2
libqt5core5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5dbus5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5designer5:arm64	5.15.15-6
libqt5gui5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5help5:arm64	5.15.15-6
libqt5network5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5printsupport5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5qml5:arm64	5.15.15+dfsg-3
libqt5qmlmodels5:arm64	5.15.15+dfsg-3
libqt5quick5:arm64	5.15.15+dfsg-3
libqt5sql5-sqlite:arm64	5.15.15+dfsg-6+deb13u1
libqt5sql5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5svg5:arm64	5.15.15-2
libqt5test5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5waylandclient5:arm64	5.15.15-3
libqt5waylandcompositor5:arm64	5.15.15-3
libqt5widgets5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt5xml5t64:arm64	5.15.15+dfsg-6+deb13u1
libqt6core6t64:arm64	6.8.2+dfsg-9+deb13u2
librabbitmq4:arm64	0.15.0-1
libraqm0:arm64	0.10.2-1
librav1e0.7:arm64	0.7.1-9+b2
libraw1394-11:arm64	2.1.2-2+b2
libreadline8t64:arm64	8.2-6
librist4:arm64	0.2.11+dfsg-1
librpicam-app1:arm64	1.12.0-1
librpieepromab0:arm64	20260304+1-1
librpifwcrypto0:arm64	20260304+1-1
librsvg2-2:arm64	2.60.0+dfsg-1
librsvg2-common:arm64	2.60.0+dfsg-1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
librubberband2:arm64	3.3.0+dfsg-2+b3
libsamplerate0:arm64	0.2.2-4+b2
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libsdl2-2.0-0:arm64	2.32.4+dfsg-1
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5:arm64	1:3.6.2-2
libsepol2:arm64	3.8.1-1
libserd-0-0:arm64	0.32.4-1
libsframe1:arm64	2.44-3
libsharpyuv0:arm64	1.5.0-0.1
libshine3:arm64	3.1.1-2+b2
libslang2:arm64	2.3.3-5+b2
libsm-dev:arm64	2:1.2.6-1
libsm6:arm64	2:1.2.6-1
libsmartcols1:arm64	2.41-5
libsnappy1v5:arm64	1.2.2-1
libsndfile1:arm64	1.2.2-2+deb13u1
libsodium23:arm64	1.0.18-1+deb13u1
libsord-0-0:arm64	0.16.18-1
libsource-highlight-common	3.1.9-4.3
libsource-highlight4t64:arm64	3.1.9-4.3+b1
libsoxr0:arm64	0.1.3-4+b2
libspeex1:arm64	1.2.1-3
libsphinxbase3t64:arm64	0.8+5prealpha+1-21+b1
libsqlite3-0:arm64	3.46.1-7+deb13u1
libsratom-0-0:arm64	0.6.18-1
libsrt1.5-gnutls:arm64	1.5.4-1
libss2:arm64	1.47.2-3+b11
libssh-4:arm64	0.11.2-1+deb13u1
libssh2-1t64:arm64	1.11.1-1
libssl3t64:arm64	3.5.6-1~deb13u1
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libsvtav1enc2:arm64	2.3.0+dfsg-1
libswresample5:arm64	8:7.1.3-0+deb13u1+rpt1
libswscale8:arm64	8:7.1.3-0+deb13u1+rpt1
libsystemd-shared:arm64	257.13-1~deb13u1
libsystemd0:arm64	257.13-1~deb13u1
libtalloc2:arm64	2:2.4.3+samba4.22.8+dfsg-0+deb13u2
libtasn1-6:arm64	4.20.0-2
libtbb12:arm64	2022.1.0-1+deb13u1
libtbbbind-2-5:arm64	2022.1.0-1+deb13u1
libtbbmalloc2:arm64	2022.1.0-1+deb13u1
libteamdctl0:arm64	1.31-1+b2
libtensorflow-lite2.20.0:arm64	2.20.0-1+rpt1
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-iconv-perl:arm64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2
libthai0:arm64	0.1.29-2+b1
libtheoradec1:arm64	1.2.0~alpha1+dfsg-6
libtheoraenc1:arm64	1.2.0~alpha1+dfsg-6
libtiff6:arm64	4.7.0-3+deb13u2
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtsan2:arm64	14.2.0-19
libturbojpeg0:arm64	1:2.1.5-4
libtwolame0:arm64	0.4.0-2+b2
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev1:arm64	257.13-1~deb13u1
libudfread0:arm64	1.1.2-1+b2
libudisks2-0:arm64	2.10.1-12.1+deb13u1
libunibreak6:arm64	6.1-3
libunistring5:arm64	1.3-2
libusb-1.0-0:arm64	2:1.0.28-1
libuuid1:arm64	2.41-5
libv4l-0t64:arm64	1.30.1-1
libv4l2rds0t64:arm64	1.30.1-1
libv4lconvert0t64:arm64	1.30.1-1
libva-drm2:arm64	2.22.0-3
libva-x11-2:arm64	2.22.0-3
libva2:arm64	2.22.0-3
libvdpau-va-gl1:arm64	0.4.2-2
libvdpau1:arm64	1.5-3+b1
libvidstab1.1:arm64	1.1.0-2+b2
libvolume-key1:arm64	0.3.12-9
libvorbis0a:arm64	1.3.7-3
libvorbisenc2:arm64	1.3.7-3
libvorbisfile3:arm64	1.3.7-3
libvpx9:arm64	1.15.0-2.1+deb13u1
libvulkan1:arm64	1.4.309.0-1
libwacom-common	2.14.0-1
libwacom9:arm64	2.14.0-1
libwayland-client0:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-cursor0:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-egl1:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-server0:arm64	1.24.0-2~bpo13+1~rpt1
libwbclient0:arm64	2:4.22.8+dfsg-0+deb13u2
libwebp7:arm64	1.5.0-0.1
libwebpdemux2:arm64	1.5.0-0.1
libwebpmux3:arm64	1.5.0-0.1
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libx11-6:arm64	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-dev:arm64	2:1.8.12-1
libx11-xcb1:arm64	2:1.8.12-1
libx264-164:arm64	2:0.164.3108+git31e19f9-2+b1
libx265-215:arm64	4.1-2
libxau-dev:arm64	1:1.0.11-1
libxau6:arm64	1:1.0.11-1
libxcb-dri3-0:arm64	1.17.0-2+b1
libxcb-glx0:arm64	1.17.0-2+b1
libxcb-icccm4:arm64	0.4.2-1
libxcb-image0:arm64	0.4.0-2+b2
libxcb-keysyms1:arm64	0.4.1-1
libxcb-present0:arm64	1.17.0-2+b1
libxcb-randr0:arm64	1.17.0-2+b1
libxcb-render-util0:arm64	0.3.10-1
libxcb-render0:arm64	1.17.0-2+b1
libxcb-shape0:arm64	1.17.0-2+b1
libxcb-shm0:arm64	1.17.0-2+b1
libxcb-sync1:arm64	1.17.0-2+b1
